Month,Monthly Australian imports from Japan: thousands of dollars. Jul 65 ? Oct 93.
Jul-65,27418
Aug-65,30592
Sep-65,23910
Oct-65,25509
Nov-65,27003
Dec-65,20943
Jan-66,25333
Feb-66,17004
Mar-66,20249
Apr-66,21384
May-66,19565
Jun-66,21253
Jul-66,23041
Aug-66,23026
Sep-66,23860
Oct-66,22295
Nov-66,27286
Dec-66,23928
Jan-67,29008
Feb-67,18387
Mar-67,26340
Apr-67,21437
May-67,27105
Jun-67,30316
Jul-67,22101
Aug-67,34180
Sep-67,32133
Oct-67,29867
Nov-67,27710
Dec-67,25342
Jan-68,29021
Feb-68,28961
Mar-68,27995
Apr-68,29217
May-68,28804
Jun-68,27979
Jul-68,32920
Aug-68,33006
Sep-68,33220
Oct-68,37703
Nov-68,38679
Dec-68,30287
Jan-69,39730
Feb-69,32205
Mar-69,31998
Apr-69,30802
May-69,33324
Jun-69,40905
Jul-69,37808
Aug-69,38598
Sep-69,43236
Oct-69,42834
Nov-69,44740
Dec-69,34983
Jan-70,41918
Feb-70,39886
Mar-70,31988
Apr-70,38448
May-70,41927
Jun-70,44844
Jul-70,44472
Aug-70,47571
Sep-70,48929
Oct-70,44346
Nov-70,48339
Dec-70,43879
Jan-71,48500
Feb-71,39912
Mar-71,50887
Apr-71,53891
May-71,50401
Jun-71,52531
Jul-71,59044
Aug-71,54300
Sep-71,36587
Oct-71,61092
Nov-71,60590
Dec-71,57143
Jan-72,50531
Feb-72,52125
Mar-72,50404
Apr-72,50268
May-72,38713
Jun-72,37771
Jul-72,43622
Aug-72,76892
Sep-72,51947
Oct-72,60594
Nov-72,70539
Dec-72,47899
Jan-73,60827
Feb-73,75188
Mar-73,54016
Apr-73,58675
May-73,78072
Jun-73,65174
Jul-73,73784
Aug-73,74549
Sep-73,77458
Oct-73,91716
Nov-73,91965
Dec-73,60324
Jan-74,105841
Feb-74,87211
Mar-74,88854
Apr-74,98492
May-74,121904
Jun-74,113115
Jul-74,138696
Aug-74,143828
Sep-74,125827
Oct-74,163372
Nov-74,135675
Dec-74,109045
Jan-75,111746
Feb-75,81967
Mar-75,85920
Apr-75,98854
May-75,113218
Jun-75,112810
Jul-75,113540
Aug-75,124316
Sep-75,121351
Oct-75,137219
Nov-75,126031
Dec-75,121922
Jan-76,146690
Feb-76,121795
Mar-76,149695
Apr-76,134872
May-76,146562
Jun-76,165519
Jul-76,159668
Aug-76,181979
Sep-76,165070
Oct-76,196300
Nov-76,204972
Dec-76,152772
Jan-77,177387
Feb-77,178049
Mar-77,197014
Apr-77,188348
May-77,173982
Jun-77,184446
Jul-77,187267
Aug-77,183766
Sep-77,176065
Oct-77,175365
Nov-77,188566
Dec-77,140012
Jan-78,167156
Feb-78,143348
Mar-78,189439
Apr-78,182139
May-78,185964
Jun-78,193248
Jul-78,227234
Aug-78,214183
Sep-78,206294
Oct-78,258372
Nov-78,232309
Dec-78,169525
Jan-79,210104
Feb-79,169559
Mar-79,198897
Apr-79,160296
May-79,190960
Jun-79,191847
Jul-79,183544
Aug-79,219075
Sep-79,161688
Oct-79,228335
Nov-79,221298
Dec-79,167991
Jan-80,257647
Feb-80,230014
Mar-80,197181
Apr-80,214386
May-80,214505
Jun-80,230727
Jul-80,245417
Aug-80,258265
Sep-80,284005
Oct-80,321274
Nov-80,265418
Dec-80,310891
Jan-81,382344
Feb-81,303195
Mar-81,355551
Apr-81,313744
May-81,343600
Jun-81,315420
Jul-81,365349
Aug-81,353349
Sep-81,338449
Oct-81,351661
Nov-81,412065
Dec-81,326009
Jan-82,349156
Feb-82,332799
Mar-82,477186
Apr-82,334576
May-82,470887
Jun-82,415610
Jul-82,407495
Aug-82,380644
Sep-82,471066
Oct-82,428948
Nov-82,433759
Dec-82,290394
Jan-83,297557
Feb-83,300496
Mar-83,366013
Apr-83,359488
May-83,361559
Jun-83,413015
Jul-83,492792
Aug-83,458631
Sep-83,408515
Oct-83,445952
Nov-83,468563
Dec-83,370503
Jan-84,431432
Feb-84,406605
Mar-84,438078
Apr-84,384882
May-84,553442
Jun-84,506836
Jul-84,560370
Aug-84,519189
Sep-84,458543
Oct-84,620742
Nov-84,521693
Dec-84,436935
Jan-85,534253
Feb-85,491395
Mar-85,624499
Apr-85,537128
May-85,680066
Jun-85,582908
Jul-85,763389
Aug-85,655079
Sep-85,631641
Oct-85,783934
Nov-85,660866
Dec-85,756536
Jan-86,741444
Feb-86,657000
Mar-86,628369
Apr-86,693027
May-86,625136
Jun-86,650768
Jul-86,747126
Aug-86,694458
Sep-86,738350
Oct-86,705528
Nov-86,501249
Dec-86,599747
Jan-87,629710
Feb-87,624525
Mar-87,652949
Apr-87,590177
May-87,531311
Jun-87,729379
Jul-87,718268
Aug-87,547579
Sep-87,622058
Oct-87,665272
Nov-87,661735
Dec-87,621014
Jan-88,574889
Feb-88,677734
Mar-88,717075
Apr-88,653612
May-88,690697
Jun-88,665864
Jul-88,830701
Aug-88,789303
Sep-88,617808
Oct-88,805775
Nov-88,909449
Dec-88,599973
Jan-89,955874
Feb-89,799494
Mar-89,876097
Apr-89,823300
May-89,900079
Jun-89,860754
Jul-89,923882
Aug-89,1121084
Sep-89,741757
Oct-89,966066
Nov-89,901978
Dec-89,648659
Jan-90,852732
Feb-90,706036
Mar-90,835792
Apr-90,722489
May-90,714262
Jun-90,739459
Jul-90,816834
Aug-90,743082
Sep-90,683375
Oct-90,1006000
Nov-90,866000
Dec-90,644000
Jan-91,703000
Feb-91,699000
Mar-91,713000
Apr-91,688000
May-91,672000
Jun-91,600000
Jul-91,847000
Aug-91,697000
Sep-91,687000
Oct-91,973000
Nov-91,796000
Dec-91,658000
Jan-92,709000
Feb-92,798000
Mar-92,820000
Apr-92,776000
May-92,699000
Jun-92,828433
Jul-92,942131
Aug-92,792916
Sep-92,864942
Oct-92,982689
Nov-92,948143
Dec-92,874863
Jan-93,735794
Feb-93,854605
Mar-93,1284216
Apr-93,961585
May-93,818379
Jun-93,1079498
Jul-93,1095091
Aug-93,1008925
Sep-93,967118
Oct-93,1127715
